level,word,phonetic,pos,meaning,example,example_zh
CET4,element,'elɪmənt,n.,元素；要素；成分,Trust is a key element of friendship.,信任是友谊的关键要素。
CET4,embarrass,ɪm'bærəs,v.,使尴尬；使难堪,The question embarrassed me.,这个问题让我很尴尬。
CET4,emerge,ɪ'mɜːdʒ,v.,出现；浮现,New problems emerged during the project.,项目期间出现了新问题。
CET4,emergency,ɪ'mɜːdʒənsi,n.,紧急情况；突发事件,Call 120 in an emergency.,紧急情况下请拨打 120。
CET4,emotion,ɪ'məʊʃn,n.,情感；情绪,She spoke with deep emotion.,她带着深厚的感情说话。
CET4,employ,ɪm'plɔɪ,v.,雇用；使用,The factory employs 500 workers.,这家工厂雇用了 500 名工人。
CET4,enable,ɪ'neɪbl,v.,使能够；使可能,The scholarship enabled her to study abroad.,奖学金使她能够出国留学。
CET4,encounter,ɪn'kaʊntə,v./n.,遭遇；邂逅,We encountered many difficulties on the way.,途中我们遇到许多困难。
CET4,encourage,ɪn'kʌrɪdʒ,v.,鼓励；支持,My teacher encouraged me to speak English.,老师鼓励我说英语。
CET4,endure,ɪn'djʊə,v.,忍受；持续,They endured the long journey patiently.,他们耐心地忍受了漫长的旅程。
CET4,energy,'enədʒi,n.,能量；精力,Solar energy is clean and renewable.,太阳能清洁可再生。
CET4,engage,ɪn'ɡeɪdʒ,v.,从事；吸引；订婚,She engaged in volunteer work.,她从事志愿工作。
CET4,engine,'endʒɪn,n.,发动机；引擎,The engine makes a strange noise.,发动机发出奇怪的噪音。
CET4,enormous,ɪ'nɔːməs,adj.,巨大的；庞大的,The project required an enormous amount of money.,这个项目需要巨额资金。
CET4,ensure,ɪn'ʃʊə,v.,确保；保证,Please ensure that all windows are closed.,请确保所有窗户都关好。
CET4,enterprise,'entəpraɪz,n.,企业；事业；进取心,Small enterprises create many jobs.,小企业创造了许多就业机会。
CET4,entertain,ˌentə'teɪn,v.,娱乐；招待,The clown entertained the children.,小丑逗孩子们开心。
CET4,enthusiasm,ɪn'θjuːziæzəm,n.,热情；热忱,She showed great enthusiasm for music.,她对音乐表现出极大的热情。
CET4,entire,ɪn'taɪə,adj.,全部的；整个的,He spent the entire day reading.,他花了一整天读书。
CET4,environment,ɪn'vaɪrənmənt,n.,环境,We should protect the environment.,我们应该保护环境。
CET4,equal,'iːkwəl,adj./v.,相等的；等于,Everyone deserves equal opportunities.,每个人都应享有平等的机会。
CET4,equipment,ɪ'kwɪpmənt,n.,设备；装备,The lab is full of modern equipment.,实验室里都是现代化设备。
CET4,error,'erə,n.,错误；差错,The report contains several spelling errors.,报告里有几个拼写错误。
CET4,escape,ɪ'skeɪp,v./n.,逃跑；逃避,The bird escaped from the cage.,鸟从笼子里逃走了。
CET4,essential,ɪ'senʃl,adj.,必不可少的；本质的,Water is essential for life.,水对生命必不可少。
CET4,establish,ɪ'stæblɪʃ,v.,建立；设立,The school was established in 1920.,这所学校创办于 1920 年。
CET4,estimate,'estɪmeɪt,v./n.,估计；估算,We estimate the journey will take two hours.,我们估计旅程需要两小时。
CET4,evaluate,ɪ'væljueɪt,v.,评估；评价,Teachers evaluate students' progress monthly.,老师每月评估学生进步。
CET4,event,ɪ'vent,n.,事件；活动,The school holds a sports event every year.,学校每年举办一次运动会。
CET4,evidence,'evɪdəns,n.,证据；迹象,There is no evidence that he was there.,没有证据表明他在那里。
CET4,exact,ɪɡ'zækt,adj.,确切的；精确的,What is the exact time of the meeting?,会议的确切时间是几点？
CET4,examine,ɪɡ'zæmɪn,v.,检查；考试；审查,The doctor examined the patient carefully.,医生仔细检查了病人。
CET4,example,ɪɡ'zɑːmpl,n.,例子；榜样,This is a good example of teamwork.,这是团队合作的好例子。
CET4,exceed,ɪk'siːd,v.,超过；超出,Do not exceed the speed limit.,不要超速行驶。
CET4,except,ɪk'sept,prep.,除……之外,Everyone came except Tom.,除汤姆外大家都来了。
CET4,exchange,ɪks'tʃeɪndʒ,v./n.,交换；交流；兑换,We exchanged gifts at the party.,我们在聚会上交换了礼物。
CET4,excite,ɪk'saɪt,v.,使兴奋；使激动,The good news excited everyone.,好消息让大家很兴奋。
CET4,exercise,'eksəsaɪz,n./v.,锻炼；练习；运用,Daily exercise keeps you healthy.,每天锻炼使你健康。
CET4,exist,ɪɡ'zɪst,v.,存在；生存,Life cannot exist without water.,没有水生命就无法存在。
CET4,expect,ɪk'spekt,v.,期待；预料,We expect to finish the work by Friday.,我们预计周五前完成工作。
CET4,expense,ɪk'spens,n.,费用；花费,Living expenses in big cities are high.,大城市的生活费用很高。
CET4,experience,ɪk'spɪəriəns,n./v.,经验；经历；体验,She has rich experience in teaching.,她有丰富的教学经验。
CET4,experiment,ɪk'sperɪmənt,n./v.,实验；试验,The students did an experiment in chemistry class.,学生们在化学课上做了实验。
CET4,expert,'ekspɜːt,n./adj.,专家；熟练的,He is an expert in computer science.,他是计算机科学专家。
CET4,explain,ɪk'spleɪn,v.,解释；说明,Please explain the word in English.,请用英语解释这个词。
CET4,explore,ɪk'splɔː,v.,探索；探险；探究,We explored the old town on foot.,我们步行游览了老城区。
CET4,express,ɪk'spres,v./adj.,表达；特快的,She expressed her thanks to everyone.,她向每个人表达了感谢。
CET4,extend,ɪk'stend,v.,延伸；扩大；延长,They extended the road to the coast.,他们把路延伸到海边。
CET4,extra,'ekstrə,adj./n.,额外的；附加的,Can you make an extra copy?,你能多复印一份吗？
CET4,extreme,ɪk'striːm,adj./n.,极端的；极大的,The weather was extreme this summer.,今年夏天天气极端。
CET4,facility,fə'sɪləti,n.,设施；设备,The hotel has excellent sports facilities.,这家酒店有极好的运动设施。
CET4,factor,'fæktə,n.,因素；要素,Hard work is an important factor in success.,努力是成功的重要因素。
CET4,failure,'feɪljə,n.,失败；故障,Failure is the mother of success.,失败是成功之母。
CET4,familiar,fə'mɪliə,adj.,熟悉的,This song sounds familiar to me.,这首歌我听起来很熟悉。
CET4,fancy,'fænsi,adj./v.,花哨的；想要；想象,I fancy a cup of coffee.,我想来杯咖啡。
CET4,fashion,'fæʃn,n.,时尚；时装；方式,Fashion changes quickly.,时尚变化很快。
CET4,fault,fɔːlt,n.,过错；缺点；故障,It is not my fault that the train was late.,火车晚点不是我的错。
CET4,favor,'feɪvə,n./v.,恩惠；赞成；偏爱,Could you do me a favor?,你能帮我个忙吗？
CET4,feature,'fiːtʃə,n.,特征；特色；专题节目,The phone has many new features.,这款手机有很多新功能。
CET4,federal,'fedərəl,adj.,联邦的；联邦制的,Federal law protects workers' rights.,联邦法律保护工人权利。
CET4,fee,fiː,n.,费用；服务费,The entrance fee is twenty yuan.,门票是二十元。
CET4,figure,'fɪɡə,n./v.,数字；人物；身材；认为,The exact figure is not known.,确切数字还不知道。
CET4,finance,'faɪnæns,n./v.,财政；金融；为……提供资金,She works in international finance.,她在国际金融领域工作。
CET4,firm,fɜːm,n./adj.,公司；牢固的；坚定的,He runs a small law firm.,他经营一家小型律师事务所。
CET4,fix,fɪks,v.,修理；固定；确定,Can you fix the broken chair?,你能修好这把坏椅子吗？
CET4,flat,flæt,n./adj.,公寓；平的；平淡的,They rent a flat near the campus.,他们在校园附近租了一套公寓。
CET4,flight,flaɪt,n.,航班；飞行；楼梯的一段,The flight to Beijing takes two hours.,飞往北京的航班需要两小时。
CET4,focus,'fəʊkəs,v./n.,集中；焦点；重点,Focus on your own goals.,专注于你自己的目标。
CET4,force,fɔːs,v./n.,强迫；力量；军队,Nobody can force you to do it.,没人能强迫你做这件事。
CET4,foreign,'fɒrən,adj.,外国的；外来的,She can speak two foreign languages.,她会说两门外语。
CET4,forget,fə'ɡet,v.,忘记,Don't forget to lock the door.,别忘了锁门。
CET4,formal,'fɔːml,adj.,正式的；正规的,Business letters use formal language.,商务信函使用正式语言。
CET4,former,'fɔːmə,adj.,以前的；前任的,The former president wrote a book.,前总统写了一本书。
CET4,fortune,'fɔːtʃuːn,n.,财富；运气,He made a fortune in business.,他经商发了财。
CET4,forward,'fɔːwəd,adv./adj.,向前；向前方的,She stepped forward to ask a question.,她向前一步提问。
CET4,freeze,friːz,v.,结冰；冻结；愣住,The lake freezes in winter.,冬天湖面结冰。
CET4,frequent,'friːkwənt,adj.,频繁的；经常的,He makes frequent visits to his hometown.,他经常回老家。
CET4,frighten,'fraɪtn,v.,使害怕；使惊恐,The loud noise frightened the baby.,巨响吓到了婴儿。
CET4,further,'fɜːðə,adj./adv.,更远的；进一步,We need further discussion.,我们需要进一步讨论。
CET4,gain,ɡeɪn,v./n.,获得；增加；收益,She gained confidence through practice.,她通过练习获得了信心。
CET4,gather,'ɡæðə,v.,聚集；收集；推断,A crowd gathered around the singer.,一群人围在歌手周围。
CET4,general,'dʒenərəl,adj./n.,普遍的；总的；将军,The general idea is clear to everyone.,总体思路大家都清楚。
CET4,generate,'dʒenəreɪt,v.,产生；引起,Wind can generate electricity.,风可以发电。
CET4,generous,'dʒenərəs,adj.,慷慨的；大方的,She is generous with her time.,她在时间上很慷慨。
CET4,genius,'dʒiːniəs,n.,天才；天赋,He is a genius at solving puzzles.,他是解谜天才。
CET4,gentle,'dʒentl,adj.,温柔的；轻柔的,She spoke in a gentle voice.,她用温柔的声音说话。
CET4,genuine,'dʒenjuɪn,adj.,真正的；真诚的,The painting is a genuine masterpiece.,这幅画是真正的杰作。
CET4,global,'ɡləʊbl,adj.,全球的；总体的,Climate change is a global problem.,气候变化是全球性问题。
CET4,goal,ɡəʊl,n.,目标；球门；进球,Set a clear goal before you start.,开始前先设定明确目标。
CET4,govern,'ɡʌvn,v.,统治；管理；支配,Laws govern our daily life.,法律规范着我们的日常生活。
CET4,grade,ɡreɪd,n./v.,年级；分数；评分,She got a good grade in math.,她数学得了好成绩。
CET4,graduate,'ɡrædʒuət,v./n.,毕业；毕业生,He graduated from Peking University.,他毕业于北京大学。
CET4,grant,ɡrɑːnt,v./n.,授予；同意；助学金,The university granted her a scholarship.,大学授予她奖学金。
CET4,grateful,'ɡreɪtfl,adj.,感激的；感谢的,I am grateful for your advice.,我感激你的建议。
CET4,guarantee,ˌɡærən'tiː,v./n.,保证；担保,Good service does not guarantee success.,好服务不一定保证成功。
CET4,guard,ɡɑːd,n./v.,守卫；警卫；保护,The dog guards the house at night.,狗在夜里看家。
CET4,guide,ɡaɪd,n./v.,导游；指南；引导,The guide showed us around the museum.,导游带我们参观了博物馆。
CET4,guilty,'ɡɪlti,adj.,内疚的；有罪的,He felt guilty about telling a lie.,他因说谎而感到内疚。
CET4,habit,'hæbɪt,n.,习惯,Reading is a good habit.,阅读是个好习惯。
CET4,handle,'hændl,v./n.,处理；操作；把手,She can handle the problem herself.,她能自己处理这个问题。
CET4,happen,'hæpən,v.,发生；碰巧,What happened to your leg?,你的腿怎么了？
CET4,harm,hɑːm,v./n.,伤害；损害,Too much sugar harms your teeth.,糖吃多了伤牙齿。
CET4,harvest,'hɑːvɪst,n./v.,收获；收割,Farmers harvest rice in autumn.,农民在秋天收割水稻。
CET4,healthy,'helθi,adj.,健康的；有益健康的,Fruit and vegetables keep you healthy.,水果和蔬菜让你保持健康。
CET4,heavy,'hevi,adj.,重的；大量的；繁忙的,The traffic was heavy this morning.,今天早晨交通拥堵。
CET4,height,haɪt,n.,高度；身高,The height of the tower is 200 meters.,这座塔高 200 米。
CET4,hesitate,'hezɪteɪt,v.,犹豫；踌躇,Don't hesitate to ask questions.,有问题尽管问，别犹豫。
CET4,honest,'ɒnɪst,adj.,诚实的；正直的,An honest person wins trust.,诚实的人赢得信任。
CET4,honor,'ɒnə,n./v.,荣誉；尊敬；给……荣誉,It is an honor to meet you.,见到你是一种荣幸。
CET4,hook,hʊk,n./v.,钩；钩住,Hang your coat on the hook.,把外套挂在钩子上。
CET4,horizon,hə'raɪzn,n.,地平线；眼界,The sun rose above the horizon.,太阳升出地平线。
CET4,host,həʊst,n./v.,主人；主办；主持,China hosted the Olympic Games.,中国主办了奥运会。
CET4,household,'haʊshəʊld,n./adj.,家庭；家用的,The household uses electricity carefully.,这家人节约用电。
CET4,humor,'hjuːmə,n.,幽默；风趣,His humor made everyone laugh.,他的幽默让大家都笑了。
CET4,identify,aɪ'dentɪfaɪ,v.,识别；确认；认同,Can you identify the man in the photo?,你能认出照片里的人吗？
CET4,ignore,ɪɡ'nɔː,v.,忽视；不理会,Never ignore your parents' advice.,永远不要忽视父母的建议。
CET4,illustrate,'ɪləstreɪt,v.,说明；阐明；给……加插图,The chart illustrates the change clearly.,图表清楚地说明了变化。
CET4,imagine,ɪ'mædʒɪn,v.,想象；设想,Imagine a world without music.,想象一个没有音乐的世界。
CET4,immediate,ɪ'miːdiət,adj.,立即的；直接的；邻近的,We need immediate action.,我们需要立即行动。
CET4,impact,'ɪmpækt,n./v.,影响；冲击,The internet has a huge impact on education.,互联网对教育影响巨大。
CET4,import,ɪm'pɔːt,v./n.,进口；输入,The country imports oil from abroad.,这个国家从国外进口石油。
CET4,impress,ɪm'pres,v.,给……留下深刻印象,Her speech impressed the audience.,她的演讲给观众留下深刻印象。
CET4,improve,ɪm'pruːv,v.,改进；改善；提高,Practice can improve your English.,练习能提高你的英语水平。
CET4,include,ɪn'kluːd,v.,包括；包含,The price includes breakfast.,价格包含早餐。
CET4,income,'ɪnkʌm,n.,收入；所得,"Her monthly income is about 8,000 yuan.",她每月收入约八千元。
CET4,increase,ɪn'kriːs,v./n.,增加；增长,The population continues to increase.,人口持续增长。
CET4,independent,ˌɪndɪ'pendənt,adj.,独立的；自主的,She is an independent young woman.,她是个独立的年轻女性。
CET4,individual,ˌɪndɪ'vɪdʒuəl,n./adj.,个人；单独的,Each individual has unique talents.,每个人都有独特的天赋。
CET4,industry,'ɪndəstri,n.,工业；行业；勤奋,The car industry creates many jobs.,汽车工业创造了许多就业机会。
CET4,influence,'ɪnfluəns,n./v.,影响；感化,Parents influence their children deeply.,父母深深影响孩子。
CET4,inform,ɪn'fɔːm,v.,通知；告知,Please inform me of any changes.,如有变化请通知我。
CET4,initial,ɪ'nɪʃl,adj.,最初的；初始的,My initial reaction was surprise.,我最初的反应是惊讶。
CET4,injure,'ɪndʒə,v.,伤害；损害,He injured his knee while playing football.,他踢足球时伤了膝盖。
CET4,innocent,'ɪnəsnt,adj.,无辜的；天真的,The court found him innocent.,法庭判定他无罪。
CET4,inspect,ɪn'spekt,v.,检查；视察,Officials inspected the factory for safety.,官员检查了工厂的安全情况。
CET4,inspire,ɪn'spaɪə,v.,鼓舞；激励；启发,Her story inspired many young people.,她的故事鼓舞了许多年轻人。
CET4,install,ɪn'stɔːl,v.,安装；任命,Please install the software on my computer.,请在我的电脑上安装这个软件。
CET4,instance,'ɪnstəns,n.,例子；实例,"For instance, he often runs in the park.",例如，他经常在公园跑步。
CET4,instant,'ɪnstənt,adj./n.,立即的；速食的；瞬间,The machine gives instant results.,这台机器能立即给出结果。
CET4,instead,ɪn'sted,adv.,代替；反而,Why not walk instead of driving?,为什么不开车而步行呢？
CET4,institute,'ɪnstɪtjuːt,n.,学院；研究所,She works at a research institute.,她在一家研究所工作。
CET4,instruct,ɪn'strʌkt,v.,指导；指示；教授,The coach instructed us to run faster.,教练指导我们跑得更快。
CET4,instrument,'ɪnstrəmənt,n.,乐器；仪器；工具,The piano is my favorite instrument.,钢琴是我最喜欢的乐器。
CET4,insurance,ɪn'ʃʊərəns,n.,保险；保险费,Health insurance is important.,健康保险很重要。
CET4,intelligence,ɪn'telɪdʒəns,n.,智力；情报；智能,The test measures general intelligence.,这项测试测量一般智力。
CET4,intend,ɪn'tend,v.,打算；意图,I intend to finish the book this week.,我打算这周读完这本书。
CET4,interest,'ɪntrəst,n./v.,兴趣；利息；使感兴趣,She takes a great interest in science.,她对科学很感兴趣。
CET4,interpret,ɪn'tɜːprɪt,v.,解释；口译；理解,How do you interpret this sentence?,你如何理解这个句子？
CET4,interrupt,ˌɪntə'rʌpt,v.,打断；中断,Don't interrupt me while I'm speaking.,我说话时请不要插嘴。
CET4,interval,'ɪntəvl,n.,间隔；休息时间,There is a ten-minute interval between classes.,课间有十分钟休息。
CET4,interview,'ɪntəvjuː,n./v.,面试；采访,She has a job interview tomorrow.,她明天有求职面试。
CET4,introduce,ˌɪntrə'djuːs,v.,介绍；引进；推行,Let me introduce my friend to you.,让我把我的朋友介绍给你。
CET4,invent,ɪn'vent,v.,发明；虚构,Who invented the telephone?,谁发明了电话？
CET4,invest,ɪn'vest,v.,投资；投入,He invested in a small restaurant.,他投资了一家小餐馆。
CET4,investigate,ɪn'vestɪɡeɪt,v.,调查；研究,The police are investigating the accident.,警方正在调查这起事故。
CET4,involve,ɪn'vɒlv,v.,涉及；包含；使参与,The project involves a lot of teamwork.,这个项目需要大量团队合作。
CET4,issue,'ɪʃuː,n./v.,问题；议题；发布,Climate is a global issue.,气候是全球议题。
CET4,item,'aɪtəm,n.,项目；一件物品,The first item on the list is milk.,清单上第一项是牛奶。
CET4,journey,'dʒɜːni,n.,旅行；旅程,The journey to the village took three hours.,去村庄的路程花了三小时。
CET4,judge,dʒʌdʒ,n./v.,法官；裁判；判断,Don't judge a book by its cover.,不要以貌取人。
CET4,justice,'dʒʌstɪs,n.,正义；公正；司法,The court works for justice.,法院为正义而工作。
CET4,keen,kiːn,adj.,热心的；敏锐的；渴望的,He is keen on playing basketball.,他热衷于打篮球。
CET4,knowledge,'nɒlɪdʒ,n.,知识；学问,Knowledge is power.,知识就是力量。
CET4,label,'leɪbl,n./v.,标签；贴标签,Read the label before using the medicine.,用药前先看标签。
CET4,labor,'leɪbə,n.,劳动；劳工,The bridge took ten years of labor to build.,这座桥耗时十年建成。
CET4,lack,læk,v./n.,缺乏；不足,The project failed for lack of money.,项目因缺钱而失败。
CET4,landscape,'lændskeɪp,n.,风景；景观,The landscape here is beautiful in autumn.,这里的秋景很美。
CET4,launch,lɔːntʃ,v./n.,发射；发起；推出,The company launched a new product.,公司推出了新产品。
CET4,law,lɔː,n.,法律；规律,Everyone is equal before the law.,法律面前人人平等。
CET6,abstract,'æbstrækt,adj./n.,抽象的；摘要,Beauty is an abstract concept.,美是一个抽象概念。
CET6,abundant,ə'bʌndənt,adj.,丰富的；充裕的,The region has abundant natural resources.,该地区自然资源丰富。
CET6,academic,ˌækə'demɪk,adj.,学术的；学院的,Her academic achievements are outstanding.,她的学术成就很突出。
CET6,accelerate,ək'seləreɪt,v.,加速；促进,Technology accelerates the pace of change.,技术加速了变化的步伐。
CET6,accommodate,ə'kɒmədeɪt,v.,容纳；为……提供住宿；适应,The hotel can accommodate 300 guests.,这家酒店可容纳三百位客人。
CET6,accumulate,ə'kjuːmjəleɪt,v.,积累；积聚,Dust accumulated on the old books.,旧书上积了灰尘。
CET6,acknowledge,ək'nɒlɪdʒ,v.,承认；致谢；确认收到,He acknowledged his mistake at last.,他终于承认了自己的错误。
CET6,acute,ə'kjuːt,adj.,严重的；敏锐的；急性的,There is an acute shortage of water.,水资源严重短缺。
CET6,adhere,əd'hɪə,v.,坚持；遵守；黏附,We must adhere to the rules.,我们必须遵守规则。
CET6,advocate,'ædvəkeɪt,v./n.,提倡；主张；拥护者,Many experts advocate a healthy diet.,许多专家提倡健康饮食。
CET6,aesthetic,iːs'θetɪk,adj.,审美的；美学的,The building has great aesthetic value.,这座建筑有很高的审美价值。
CET6,agenda,ə'dʒendə,n.,议程；日程,The first item on the agenda is finance.,议程第一项是财务。
CET6,alleviate,ə'liːvieɪt,v.,减轻；缓解,The medicine alleviated her pain.,药物缓解了她的疼痛。
CET6,allocate,'æləkeɪt,v.,分配；拨给,The government allocated funds to education.,政府为教育拨款。
CET6,ambiguous,æm'bɪɡjuəs,adj.,模棱两可的；含糊的,His answer was deliberately ambiguous.,他的回答故意含糊其辞。
CET6,amend,ə'mend,v.,修改；修订；改善,The committee amended the plan.,委员会修改了计划。
CET6,analogy,ə'nælədʒi,n.,类比；类推,She explained the idea by analogy with music.,她用音乐作类比解释了这个想法。
CET6,anonymous,ə'nɒnɪməs,adj.,匿名的；无名的,The donation came from an anonymous giver.,捐赠者不愿透露姓名。
CET6,applaud,ə'plɔːd,v.,鼓掌；称赞,The audience applauded the speaker.,观众为演讲者鼓掌。
CET6,appliance,ə'plaɪəns,n.,家用电器；器具,This store sells kitchen appliances.,这家店出售厨房电器。
CET6,appraisal,ə'preɪzl,n.,评估；评价,The manager gave a fair appraisal of my work.,经理对我的工作作了公正评价。
CET6,arbitrary,'ɑːbɪtrəri,adj.,任意的；专断的,The decision seemed completely arbitrary.,这个决定似乎完全随意。
CET6,articulate,ɑː'tɪkjələt,adj./v.,口齿清晰的；清楚表达,She is an articulate speaker.,她讲话口齿伶俐。
CET6,ascend,ə'send,v.,上升；攀登,The plane ascended quickly.,飞机迅速上升。
CET6,ascribe,ə'skraɪb,v.,把……归因于,She ascribed her success to hard work.,她把成功归因于努力。
CET6,assault,ə'sɔːlt,n./v.,袭击；攻击,He was charged with assault.,他被指控袭击。
CET6,assemble,ə'sembl,v.,集合；组装；聚集,The students assembled in the hall.,学生们在大厅集合。
CET6,asset,'æset,n.,资产；宝贵的人或物,Her language skills are a great asset.,她的语言技能是宝贵财富。
CET6,assumption,ə'sʌmpʃn,n.,假设；假定,Your argument rests on a false assumption.,你的论点建立在错误假设上。
CET6,attain,ə'teɪn,v.,达到；获得,She attained her goal through persistence.,她靠坚持实现了目标。
CET6,authentic,ɔː'θentɪk,adj.,真实的；正宗的；可信的,The restaurant serves authentic Sichuan food.,这家餐厅提供正宗川菜。
CET6,autonomy,ɔː'tɒnəmi,n.,自治；自主权,The region enjoys a high degree of autonomy.,该地区享有高度自治。
CET6,bias,'baɪəs,n./v.,偏见；使有偏见,The report shows a clear bias.,这份报告有明显偏见。
CET6,boost,buːst,v./n.,促进；提高；推动,The good news boosted our confidence.,好消息增强了我们的信心。
CET6,bureaucracy,bjʊə'rɒkrəsi,n.,官僚主义；官僚机构,Too much bureaucracy slows progress.,过多的官僚作风拖慢进展。
CET6,cater,'keɪtə,v.,迎合；满足需要；提供饮食,The show caters to young audiences.,这档节目迎合年轻观众。
CET6,census,'sensəs,n.,人口普查；统计,The census is held every ten years.,人口普查每十年进行一次。
CET6,chaos,'keɪɒs,n.,混乱；无序,The city fell into chaos after the storm.,暴风雨后城市陷入混乱。
CET6,chronic,'krɒnɪk,adj.,慢性的；长期的,He suffers from chronic back pain.,他患有慢性背痛。
CET6,circuit,'sɜːkɪt,n.,电路；环形；巡回,A short circuit caused the blackout.,短路导致停电。
CET6,cite,saɪt,v.,引用；引证,The paper cites many recent studies.,论文引用了许多最新研究。
CET6,clarity,'klærəti,n.,清晰；清楚,Clarity of expression matters in writing.,写作中表达清晰很重要。
CET6,cling,klɪŋ,v.,紧抓；依附；坚持,The child clung to her mother's hand.,孩子紧紧抓着妈妈的手。
CET6,coherent,kəʊ'hɪərənt,adj.,连贯的；一致的；有条理的,Write a coherent paragraph on the topic.,围绕主题写一段连贯的文字。
CET6,collaborate,kə'læbəreɪt,v.,合作；协作,The two labs collaborate on research.,两个实验室合作研究。
CET6,commence,kə'mens,v.,开始；着手,The ceremony will commence at nine.,典礼将于九点开始。
CET6,commodity,kə'mɒdəti,n.,商品；日用品,Coffee is a major export commodity.,咖啡是主要的出口商品。
CET6,compensate,'kɒmpenseɪt,v.,补偿；弥补,The company compensated the injured worker.,公司赔偿了受伤的工人。
CET6,competent,'kɒmpɪtənt,adj.,有能力的；胜任的,She is competent in three languages.,她能熟练使用三种语言。
CET6,compile,kəm'paɪl,v.,汇编；编纂；编译,He compiled the data into a report.,他把数据汇编成报告。
CET6,complement,'kɒmplɪment,n./v.,补充；补足,The two skills complement each other.,这两种技能互补。
CET6,comply,kəm'plaɪ,v.,遵从；服从,All staff must comply with safety rules.,所有员工必须遵守安全规定。
CET6,comprehensive,ˌkɒmprɪ'hensɪv,adj.,全面的；综合的,The book gives a comprehensive overview.,这本书作了全面概述。
CET6,compromise,'kɒmprəmaɪz,n./v.,妥协；折中,Both sides reached a compromise.,双方达成了妥协。
CET6,conceive,kən'siːv,v.,构想；设想；怀孕,It is hard to conceive of life without water.,很难想象没有水的生活。
CET6,concession,kən'seʃn,n.,让步；特许权,The company made concessions to the workers.,公司向工人做了让步。
CET6,concrete,'kɒŋkriːt,adj./n.,具体的；混凝土,Give me a concrete example.,给我一个具体例子。
CET6,condemn,kən'dem,v.,谴责；判刑,The public condemned the unfair decision.,公众谴责这个不公平的决定。
CET6,confidential,ˌkɒnfɪ'denʃl,adj.,机密的；保密的,This information is strictly confidential.,这条信息绝密。
CET6,conform,kən'fɔːm,v.,遵守；符合；顺应,Products must conform to safety standards.,产品必须符合安全标准。
CET6,consensus,kən'sensəs,n.,共识；一致意见,The group reached a consensus on the plan.,小组就计划达成共识。
CET6,conserve,kən'sɜːv,v.,保护；节约；保存,We should conserve water in daily life.,日常生活中我们应节约用水。
CET6,constitute,'kɒnstɪtjuːt,v.,构成；组成；设立,Women constitute half of the workforce.,女性占劳动力的一半。
CET6,constrain,kən'streɪn,v.,限制；约束；强迫,Budget cuts constrained the research.,削减预算限制了研究。
CET6,contemplate,'kɒntəmpleɪt,v.,沉思；考虑；凝视,She contemplated moving abroad.,她考虑搬到国外。
CET6,contempt,kən'tempt,n.,轻视；蔑视,He showed contempt for the rules.,他对规则不屑一顾。
CET6,contradict,ˌkɒntrə'dɪkt,v.,反驳；与……矛盾,The two reports contradict each other.,两份报告相互矛盾。
CET6,controversy,'kɒntrəvɜːsi,n.,争议；争论,The policy caused great controversy.,这项政策引发了很大争议。
CET6,conventional,kən'venʃənl,adj.,传统的；常规的,They prefer conventional teaching methods.,他们偏好传统教学法。
CET6,correlate,'kɒrəleɪt,v.,相互关联,Sleep is correlated with memory.,睡眠与记忆相关。
CET6,criterion,kraɪ'tɪəriən,n.,标准；准则,What are the criteria for the award?,评奖标准是什么？
CET6,crucial,'kruːʃl,adj.,至关重要的；关键的,Timing is crucial in this project.,时机对这个项目至关重要。
CET6,cultivate,'kʌltɪveɪt,v.,培养；耕作；陶冶,Reading cultivates the mind.,阅读陶冶心灵。
CET6,cumulative,'kjuːmjələtɪv,adj.,累积的；渐增的,Small changes have a cumulative effect.,小变化会产生累积效应。
CET6,curriculum,kə'rɪkjələm,n.,课程；课程体系,Music is part of the school curriculum.,音乐是学校课程的一部分。
CET6,deceive,dɪ'siːv,v.,欺骗；蒙蔽,Don't be deceived by appearances.,不要被外表欺骗。
CET6,dedicate,'dedɪkeɪt,v.,献身；致力于；题献,He dedicated his life to science.,他毕生致力于科学。
CET6,deficiency,dɪ'fɪʃnsi,n.,缺乏；不足；缺陷,Iron deficiency can cause tiredness.,缺铁会导致疲劳。
CET6,deficit,'defɪsɪt,n.,赤字；亏损；不足,The country has a trade deficit.,该国存在贸易逆差。
CET6,deliberate,dɪ'lɪbərət,adj./v.,故意的；深思熟虑的；仔细考虑,It was a deliberate attempt to mislead.,那是蓄意误导。
CET6,denote,dɪ'nəʊt,v.,表示；意味着,The red sign denotes danger.,红色标志表示危险。
CET6,depict,dɪ'pɪkt,v.,描绘；描述,The painting depicts a country scene.,这幅画描绘了乡村景色。
CET6,deprive,dɪ'praɪv,v.,剥夺；使丧失,The war deprived many children of education.,战争使许多孩子失去教育。
CET6,derive,dɪ'raɪv,v.,获得；源自,She derives pleasure from reading.,她从阅读中获得乐趣。
CET6,descend,dɪ'send,v.,下降；下来；是……的后代,The plane began to descend.,飞机开始下降。
CET6,designate,'dezɪɡneɪt,v.,指定；指派；标明,The area was designated as a nature reserve.,该地区被划为自然保护区。
CET6,deteriorate,dɪ'tɪəriəreɪt,v.,恶化；变坏,His health deteriorated rapidly.,他的健康状况迅速恶化。
CET6,deviate,'diːvieɪt,v.,偏离；背离,Do not deviate from the main topic.,不要偏离主题。
